external_gene_name	target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	description
Gnai3	ENSMUST00000000001.5	2.42106277563548e-12	5.19639954723366e-12	-1.60244735391954	0.228666472647943	4.89403380979988	0.865791819757406	0.0343056316766839	-0.00389147622741845	0.0441269018931945	0.0441269018931945	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]
Cav2	ENSMUST00000000058.7	1.18663817675046e-51	9.60933889525262e-51	-4.50865946859037	0.298182181808116	4.08166542370294	4.55317997387675	0.0129229843358621	-0.00353467801649727	0.12044593598591	0.12044593598591	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
Klf6	ENSMUST00000000080.8	1.41870123277712e-42	8.97819694563335e-42	1.05702780575942	0.0772925091877715	6.0191041745059	0.318457881110588	0.00330178834858864	-0.000839042090059018	0.00565940961622396	0.00565940961622396	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
Cox5a	ENSMUST00000000090.8	1.6976727409727e-69	2.00893115242756e-68	-1.13452593219069	0.0643846267393462	6.55023658714174	0.50122662289452	0.00410603244636444	-0.000509964451970717	0.00211203779418296	0.00211203779418296	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
Actr2	ENSMUST00000000137.8	2.27680945228613e-79	3.11592252206021e-78	-0.823905337142329	0.0436772471997731	6.94679683267009	0.140829042040042	0.00187324433341977	-0.000770809846762722	0.000988308551005366	0.000988308551005366	ARP2 actin-related protein 2 [Source:MGI Symbol;Acc:MGI:1913963]
Gna12	ENSMUST00000000153.9	5.63242005855976e-12	1.19119134912889e-11	-0.518105193074952	0.075211423080426	6.1628924106815	0.0899046352166148	0.00412933168888983	-0.00249446604566876	0.00435580555378444	0.00435580555378444	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]
Sdhd	ENSMUST00000000175.6	5.71176860287432e-44	3.77354331090004e-43	-0.60822529468428	0.043733930259129	6.98804753964773	0.0816282204940442	0.00195602649432781	-0.00121689970971319	0.000912958489537723	0.000912958489537723	succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]
Ncs1	ENSMUST00000000199.8	1.25141654013904e-67	1.43420063213919e-66	-2.48071090483065	0.142765535639977	5.84854236994572	0.836098620914829	0.022895379366723	-0.0183848158060778	0.0076776178831315	0.0076776178831315	neuronal calcium sensor 1 [Source:MGI Symbol;Acc:MGI:109166]
Th	ENSMUST00000000219.10	8.80139417286476e-51	6.97515281987208e-50	-7.97681515421045	0.532214831618117	4.97783051808848	9.07606888803207	0.38635229051848	-0.0664295623498821	0.0385266499729714	0.0385266499729714	tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]
Gmpr	ENSMUST00000000260.13	3.76227734374941e-25	1.31744898590901e-24	0.693138361436792	0.0669040428344137	6.19023799194305	0.149328715048232	0.00257190086140847	0.000630002859776528	0.00414232555997513	0.00414232555997513	guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]
