target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
ENSMUST00000032906.11	2.86205614561463e-191	5.20550771764389e-187	6.95513370160804	0.235765651596616	6.8063253494494	10.5483739125249	0.0922079244697058	0.0122110984921091	0.0745484029486246	0.0745484029486246
ENSMUST00000223812.2	1.27300204106976e-141	1.15766805614884e-137	-3.26072829598335	0.128697989930511	10.2626366401632	1.62810999840312	0.000286561273487205	0.0150534469101575	0.0494029565629747	0.0494029565629747
ENSMUST00000032492.9	3.39265477363365e-97	2.05685350076163e-93	6.05878459530475	0.289592314293946	8.06201701261515	6.3659720633002	0.0208925019982657	0.230698623496105	0.0308978009954259	0.230698623496105
ENSMUST00000061739.9	8.31911783312908e-63	3.78270287872379e-59	-1.85835146568834	0.111098244407042	8.12517872478967	5.18397750968034	0.00269966998448123	0.0343287897464993	0.0301308280797537	0.0343287897464993
ENSMUST00000102840.5	2.27316535533355e-62	8.26886629656132e-59	2.1155788434137	0.126931341501598	7.37775787959765	1.24166438070287	0.00219985393301047	0.0325085555025912	0.0461348424331753	0.0461348424331753
ENSMUST00000080882.11	7.94803253970008e-60	2.40931359720108e-56	-2.15510478879529	0.132107814408354	7.32355568901466	0.700622838384666	0.00227249892214088	0.0500849249611154	0.0480495854892052	0.0500849249611154
ENSMUST00000030636.11	8.04081588146418e-54	2.08923370360101e-50	1.49210244028278	0.0966018985510591	9.1443691937888	0.506289935827268	0.000271222774046362	0.0235269398147598	0.027724557636961	0.027724557636961
ENSMUST00000029712.5	5.37934399915178e-52	1.22299385820716e-48	7.45335170145111	0.491241042221768	4.77380167139624	8.85060112898253	0.0129129220619247	0.502146949163941	0.711040362627463	0.711040362627463
ENSMUST00000167246.2	6.37767426165528e-52	1.28885710523318e-48	-7.31496829267868	0.482475757807766	4.94940162221548	11.2073006392929	0.111127386877145	-0.102859672204919	0.587221183739389	0.587221183739389
ENSMUST00000185187.8	7.51907646753935e-48	1.36756962791606e-44	5.48102000048531	0.377150690261456	8.4551106019201	4.56919548143826	0.00405920963352705	0.422668719860552	0.027411039161014	0.422668719860552
ENSMUST00000197189.2	1.00571215149488e-45	1.66289932830808e-42	1.65038081072701	0.116277551933633	8.16035059430559	0.828380771388378	0.00090144869675228	0.0396599585542836	0.029740400101583	0.0396599585542836
ENSMUST00000001051.9	1.63413251971005e-45	2.47680018904054e-42	1.34620685886076	0.0950752214062005	8.61178128588124	0.365855210582905	0.000318055248392342	0.00894441200415563	0.0267998379279218	0.0267998379279218
ENSMUST00000038876.13	2.3303286769461e-45	3.26030907509966e-42	6.27097144166625	0.443666571774725	5.35121823881064	7.46488267930821	0.0640435325042343	0.526476548226778	0.376926909230109	0.526476548226778
ENSMUST00000038474.14	2.72438228413401e-40	3.53936178455924e-37	-1.47598855277645	0.111078396668077	7.85423874342824	0.367639878100921	0.00104871886624436	0.0359665117528073	0.0340702056365477	0.0359665117528073
ENSMUST00000084787.6	3.2695744713611e-40	3.96446803234104e-37	6.19053705375682	0.466360315024106	6.0734757632194	7.59675888338676	0.252965907699519	0.399509922588632	0.155506447222011	0.399509922588632
ENSMUST00000036825.14	4.86387959354309e-40	5.52901512796011e-37	-2.71824505711102	0.205237877909466	6.33673392481438	1.18459525092558	0.00825206160887511	0.076805410748521	0.118115697977468	0.118115697977468
ENSMUST00000206156.2	2.49957374072334e-37	2.67424983507507e-34	7.19003557470855	0.563164240233592	5.44995390894486	12.6034293053164	0.226946763635638	0.724515120798	0.333734400423829	0.724515120798
ENSMUST00000046892.10	2.94525874380487e-37	2.97602033512905e-34	-1.23257899027818	0.0966392940405082	8.43112918934549	0.412736579822771	0.000476085792368257	0.0274260331898373	0.0275413736655752	0.0275413736655752
ENSMUST00000179238.8	1.26070200819755e-35	1.20682358553142e-32	-3.78871855539459	0.304112645779229	7.17077914491047	2.30248504647056	0.060264370502563	0.217189133465966	0.0542059755568549	0.217189133465966
ENSMUST00000092956.4	8.03710931296791e-35	7.02576033508365e-32	2.00183627081035	0.162623331451701	6.78923392804546	1.61640474901993	0.00359733071498093	0.0640135028646972	0.0757417130823682	0.0757417130823682
ENSMUST00000029515.5	8.11199510868467e-35	7.02576033508365e-32	6.0990436657647	0.495498624629383	4.97602973477384	7.22981251024114	0.0418640318795363	0.694692629149293	0.571273103606372	0.694692629149293
ENSMUST00000156068.3	1.41795206839045e-34	1.17225964635843e-31	2.93375842226474	0.239222100943126	6.00822922544143	1.91926290508536	0.00468075274424838	0.136721156491931	0.167000887994681	0.167000887994681
ENSMUST00000040971.14	4.82488813023552e-34	3.81543762229233e-31	3.02593647900389	0.248758729044189	5.94039088624349	1.73439011771659	0.00508534021280117	0.0950123914385334	0.180557375614239	0.180557375614239
