target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
ENSMUST00000082402.1	0	0	-1.06417939018837	0.0164570001399645	8.84285467032635	0.195181469005017	0.000340066115315192	4.50929901282186e-06	6.61831650949929e-05	6.61831650949929e-05
ENSMUST00000082407.1	0	0	-1.02504730410245	0.0147024603236591	9.0117053180463	0.339642714896595	0.000259664573850373	-0.000111340220898358	6.4578935502784e-05	6.4578935502784e-05
ENSMUST00000082421.1	0	0	-1.25594550391105	0.0249426719178506	7.90687827781765	0.344961568950448	0.000760735409784588	-0.000129051223109454	0.000172469913817714	0.000172469913817714
ENSMUST00000033582.5	0	0	-0.562483991938432	0.0130032850746152	9.13197355600443	0.0557855221989627	0.000149417608573689	0.000104210525523878	6.55166696673689e-05	0.000104210525523878
ENSMUST00000230494.2	0	0	-0.871775905930169	0.02077283011452	8.47956101728765	0.0692925690027382	0.00056453821147066	-0.000322028610643981	8.27274949794049e-05	8.27274949794049e-05
ENSMUST00000022980.5	0	0	-0.741007610528331	0.0159648753506397	8.55969096734052	0.0662180440236873	0.000305033218235596	-3.08754044935089e-05	7.72826492066004e-05	7.72826492066004e-05
ENSMUST00000025110.5	0	0	1.30646099846729	0.0282185718253454	7.47535814703799	0.402771065980843	0.000831192107242673	-7.89988905127745e-05	0.000363239586550591	0.000363239586550591
ENSMUST00000073080.7	0	0	-1.45772371547849	0.0251123525435081	8.12185796469656	0.250769552760421	0.000820693435766659	-0.000185760516670415	0.000125251939637495	0.000125251939637495
ENSMUST00000114694.9	0	0	4.12342918143788	0.107375283296297	6.24277198247519	2.21211020648538	0.0135345431278499	-0.00776968755891395	0.00375963406659001	0.00375963406659001
ENSMUST00000067778.8	0	0	7.87767692681216	0.110946787102877	5.65276700329909	6.76193379409007	0.00751903758893954	-0.00495684273016963	0.0109447467637372	0.0109447467637372
ENSMUST00000080368.13	0	0	-2.1116424236743	0.0453256351987782	6.82206770887809	0.479616279774046	0.00182548396876036	-0.000899433506903065	0.00125613584049872	0.00125613584049872
ENSMUST00000001304.9	0	0	-1.2878629203776	0.0136875903348076	8.71218682823418	0.34485918153441	0.000211145579825987	-6.12228137363407e-05	6.98796139342908e-05	6.98796139342908e-05
ENSMUST00000021719.7	0	0	-0.714134930937045	0.0165617992431005	8.44182145503884	0.0730897202092918	0.00032572368814549	-0.0002019303208198	8.57161031076564e-05	8.57161031076564e-05
